"M","confiabilidade","n","num_pontos","coeficiente","vicio","eqm","pc_amplitude"
1000,0.9,100,3,"omega",-0.048,0.003,"0.325 (0.094)"
1000,0.9,100,3,"omega ordinal",0,0,"0.937 (0.081)"
1000,0.9,100,5,"alfa_std",-0.023,0.001,"0.768 (0.078)"
1000,0.9,100,5,"alfa ordinal",-0.001,0,"0.943 (0.072)"
1000,0.9,100,5,"omega",-0.022,0.001,"0.757 (0.077)"
1000,0.9,100,5,"omega ordinal",0,0,"0.943 (0.071)"
1000,0.9,100,7,"alfa_std",-0.016,0.001,"0.868 (0.074)"
1000,0.9,100,7,"alfa ordinal",-0.001,0,"0.935 (0.069)"
1000,0.9,100,7,"omega",-0.015,0.001,"0.863 (0.073)"
1000,0.9,100,7,"omega ordinal",0,0,"0.931 (0.068)"
1000,0.9,200,3,"alfa_std",-0.048,0.003,"0.083 (0.066)"
1000,0.9,200,3,"alfa ordinal",0,0,"0.949 (0.057)"
1000,0.9,200,3,"omega",-0.047,0.002,"0.078 (0.066)"
1000,0.9,200,3,"omega ordinal",0,0,"0.945 (0.056)"
1000,0.9,200,5,"alfa_std",-0.022,0.001,"0.591 (0.054)"
1000,0.9,200,5,"alfa ordinal",0,0,"0.954 (0.05)"
1000,0.9,200,5,"omega",-0.022,0.001,"0.59 (0.054)"
1000,0.9,200,5,"omega ordinal",0.001,0,"0.952 (0.05)"
1000,0.9,200,7,"alfa_std",-0.015,0,"0.771 (0.051)"
1000,0.9,200,7,"alfa ordinal",0,0,"0.955 (0.048)"
1000,0.9,200,7,"omega",-0.015,0,"0.768 (0.051)"
1000,0.9,200,7,"omega ordinal",0,0,"0.952 (0.048)"
1000,0.9,350,3,"alfa_std",-0.048,0.002,"0.001 (0.05)"
1000,0.9,350,3,"alfa ordinal",0,0,"0.963 (0.042)"
1000,0.9,350,3,"omega",-0.047,0.002,"0.001 (0.049)"
1000,0.9,350,3,"omega ordinal",0,0,"0.966 (0.042)"
1000,0.9,350,5,"alfa_std",-0.022,0.001,"0.328 (0.041)"
1000,0.9,350,5,"alfa ordinal",0,0,"0.956 (0.038)"
1000,0.9,350,5,"omega",-0.022,0.001,"0.329 (0.041)"
1000,0.9,350,5,"omega ordinal",0,0,"0.956 (0.037)"
1000,0.9,350,7,"alfa_std",-0.015,0,"0.594 (0.038)"
1000,0.9,350,7,"alfa ordinal",0,0,"0.969 (0.036)"
