"estimativa","ic_normal_cobre","amplitude_ic_normal","ic_boot_cobre","amplitude_ic_boot"
0.161328848266336,1,0.382996463505311,1,0.38348145158875
0.215938586103656,1,0.375193450002461,1,0.406626580877964
0.218798840875702,1,0.374722102455323,1,0.430343029039364
0.215490258118443,1,0.375266764592323,1,0.440968009087137
0.317667115736504,1,0.354574622215492,1,0.402567017703033
0.327079585015782,1,0.352264113314115,1,0.366313621243854
0.0246384390145815,1,0.392606957985316,1,0.43223102820065
0.155458535856284,1,0.383700175851138,1,0.410124475261863
0.297388446076937,1,0.359319848436583,1,0.380151469157298
0.298735079542811,1,0.359014572531519,1,0.379470446032681
0.186223988845511,1,0.379720961803341,1,0.40119574237852
0.329140994387569,1,0.35174893937173,1,0.362886647702298
0.352934535477922,1,0.345564116706859,1,0.341622656601995
0.321134619592334,1,0.353731417250221,1,0.368463544432272
0.109819474271146,1,0.388279167484249,1,0.387643712599526
0.190268717101839,1,0.3791442497671,1,0.435766484918069
0.346350257943202,1,0.347319587261886,1,0.369679823832536
0.0695270206056437,1,0.391010184382683,1,0.446823568989454
0.18127470686131,1,0.380409701373815,1,0.424737133121326
0.234322618337001,1,0.372054872223177,1,0.430430539494817
0.379616507486503,1,0.338104889038873,1,0.382562121829642
0.0519582305729053,1,0.39181652085412,1,0.406191865165228
0.164858486527055,1,0.382560737109387,1,0.418718013041415
0.270679751426324,1,0.365086072258298,1,0.395524865950713
0.0360249072419478,1,0.392346059248721,1,0.405046338647343
0.437591823201757,0,0.319977212215106,0,0.31655280975859
0.262220650063796,1,0.366797970262014,1,0.368938763996506
0.211658615467902,1,0.375887089085484,1,0.409108229930196
0.117129627363607,1,0.387651959400136,1,0.380724364115401
0.222217701242694,1,0.374150502839635,1,0.412553004013865
0.0884282330891684,1,0.389882051035606,1,0.39222484023815
0.180025334997599,1,0.380580615783959,1,0.355401018823246
0.028601220895095,1,0.392527271627556,1,0.360500650088494
0.111776483345999,1,0.388115225254027,1,0.359389315813438
0.358268595980507,1,0.344117264007361,1,0.313303213236804
0.219660523127362,1,0.374578879307833,1,0.406681876596387
0.410220723564717,0,0.328864429397339,0,0.319237151753841
0.381276504672169,1,0.337622475512053,1,0.390204450321175
0.266850457291866,1,0.365867826712719,1,0.361986619700126
0.132562343057179,1,0.386194836935019,1,0.409348895662896
0.226258557002099,1,0.373463396076152,1,0.3908698285977
0.333333345223829,1,0.35069106043898,1,0.395465605328426
0.0101783017877066,1,0.392797108319912,0,0.410504850156636
0.0429045136865871,1,0.392140952590696,1,0.439200007059563
0.297396975236183,1,0.359317919313268,1,0.406216900536518
0.195503393860858,1,0.378379369899518,1,0.388661019578311
0.381561970146295,0,0.337539299200174,1,0.380620793234689
0.357235353105446,1,0.344399257184793,1,0.400682428948579
0.212300070631779,1,0.375784021618773,1,0.404087032428192
0.0320060753670579,1,0.392449328290971,1,0.450466032077174
0.27483271453658,1,0.364225506291246,1,0.418227594586043
0.272889999322218,1,0.364629720424388,1,0.397338915863512
0.392720143533354,0,0.334238226556343,0,0.334514057837402
0.181171309786941,1,0.380423891212984,1,0.381609453673414
0.211360051747051,1,0.375934954479832,1,0.427224318435001
0.203726756759982,1,0.377135616451026,1,0.430384768060609
0.305090817108144,1,0.357554875986554,1,0.345607237014618
0.226397170646232,1,0.373439604846131,1,0.359159282176652
0.103198323482773,1,0.388812323879407,1,0.449666118790986
0.00689555131339604,1,0.392818277137655,0,0.386696850789397
0.169260115312034,1,0.382004096837061,1,0.39638902473497
0.158007641975241,1,0.383397814070415,1,0.399323302499391
0.23491952860808,1,0.371948634849267,1,0.428979886127739
0.352427855580402,1,0.345700401940933,1,0.377763212268889
0.155993626073615,1,0.383637115549268,1,0.427639475270015
0.118846499498088,1,0.387498781070036,1,0.447433585983644
0.412545415089939,0,0.328132521928021,1,0.414702964539547
0.067210402444085,1,0.391129864829254,1,0.430465854191914
0.300426917603992,1,0.358629058265526,1,0.39108340070747
0.196064659887737,1,0.378296119540946,1,0.372131302573511
0.121827092907865,1,0.387227548833371,1,0.416390343336692
0.273133058291114,1,0.364579306722936,1,0.379276209620805
0.184473704826464,1,0.379966661757711,1,0.397766967794079
